"","Team","Season","W","L","T","Win %","Cover %","Over %","Off Pts/G","Def Pts/G","Off Tot Pts","Def Tot Pts"
"1","ARI",2018,3,13,0,18.8,50,43.8,14.1,26.6,225,425
"2","ATL",2018,7,9,0,43.8,31.2,56.2,25.9,26.4,414,423
"3","BAL",2018,10,6,0,62.5,53.1,43.8,24.3,17.9,389,287
"4","BUF",2018,6,10,0,37.5,43.8,43.8,16.8,23.4,269,374
"5","CAR",2018,7,9,0,43.8,43.8,50,23.5,23.9,376,382
"6","CHI",2018,12,4,0,75,75,50,26.3,17.7,421,283
"7","CIN",2018,6,10,0,37.5,56.2,56.2,23,28.4,368,455
"8","CLE",2018,7,8,1,46.9,59.4,46.9,22.4,24.5,359,392
"9","DAL",2018,10,6,0,62.5,56.2,43.8,21.2,20.2,339,324
"10","DEN",2018,6,10,0,37.5,40.6,21.9,20.6,21.8,329,349
"11","DET",2018,6,10,0,37.5,56.2,37.5,20.2,22.5,324,360
"12","GB",2018,6,9,1,40.6,43.8,50,23.5,25,376,400
"13","HOU",2018,11,5,0,68.8,43.8,43.8,25.1,19.8,402,316
"14","IND",2018,10,6,0,62.5,53.1,50,27.1,21.5,433,344
"15","JAX",2018,5,11,0,31.2,43.8,37.5,15.3,19.8,245,316
"16","KC",2018,12,4,0,75,62.5,65.6,35.3,26.3,565,421
"17","LAC",2018,12,4,0,75,53.1,50,26.8,20.6,428,329
"18","LAR",2018,13,3,0,81.2,46.9,50,32.9,24,527,384
"19","MIA",2018,7,9,0,43.8,50,50,19.9,27.1,319,433
"20","MIN",2018,8,7,1,53.1,53.1,37.5,22.5,21.3,360,341
"21","NE",2018,11,5,0,68.8,56.2,31.2,27.2,20.3,436,325
"22","NO",2018,13,3,0,81.2,62.5,43.8,31.5,22.1,504,353
"23","NYG",2018,5,11,0,31.2,53.1,56.2,23.1,25.8,369,412
"24","NYJ",2018,4,12,0,25,34.4,62.5,20.8,27.6,333,441
"25","OAK",2018,4,12,0,25,37.5,40.6,18.1,29.2,290,467
"26","PHI",2018,9,7,0,56.2,46.9,43.8,22.9,21.8,367,348
"27","PIT",2018,9,6,1,59.4,50,50,26.8,22.5,428,360
"28","SEA",2018,10,6,0,62.5,62.5,56.2,26.8,21.7,428,347
"29","SF",2018,4,12,0,25,31.2,56.2,21.4,27.2,342,435
"30","TB",2018,5,11,0,31.2,56.2,56.2,24.8,29,396,464
"31","TEN",2018,9,7,0,56.2,50,50,19.4,18.9,310,303
"32","WAS",2018,7,9,0,43.8,56.2,43.8,17.6,22.4,281,359
